"switch" "arsenic" "dist" "assoc" "educ"
"727" 0 1.07 23.6480007171631 0 5
"250" 1 1.27 86.0940017700195 1 8
"258" 0 0.93 58.3559989929199 0 5
"1730" 1 0.89 31.261999130249 0 12
"2092" 0 3.26 68.9290008544922 0 0
"2640" 0 0.69 15.9079999923706 1 7
"428" 1 3.42 66.0640029907227 1 10
"1745" 0 1.84 94.7559967041016 0 8
"1103" 0 0.61 41.0979995727539 0 0
"1418" 1 0.56 32.1469993591309 1 10
"1534" 1 2.05 19.2810001373291 1 0
"1253" 1 1.23 64.1149978637695 0 0
"1319" 1 2.52 25.0030002593994 0 10
"2078" 0 2.19 32.576000213623 1 0
"2660" 1 0.63 31.3810005187988 0 12
"95" 0 1.04 27.42799949646 0 5
"263" 0 1.17 50.9519996643066 0 15
"2096" 1 2.99 152.783004760742 0 3
"214" 0 1.77 94.722999572754 0 5
"1984" 0 0.6 38.7360000610352 1 3
"305" 1 0.68 23.6790008544922 1 0
"352" 1 1.56 109.777000427246 0 10
"2143" 1 0.61 15.4949998855591 0 3
"2114" 0 0.87 18.9529991149902 0 3
"604" 0 0.61 22.1550006866455 0 8
"1407" 0 0.61 4.65100002288818 0 10
"2622" 0 0.97 30.7159996032715 0 5
"3009" 0 1.26 38.8569984436035 1 5
"2272" 0 1.03 99.890998840332 0 4
"843" 1 3.07 92.988998413086 1 5
"990" 0 1.95 114.900001525879 0 5
"2624" 0 0.97 61.1269989013672 0 5
"2747" 1 0.92 17.9260005950928 0 8
"2661" 1 2.1 116.278999328613 1 7
"1131" 0 1.78 13.1949996948242 0 7
"2871" 1 5.62 34.5190010070801 0 5
"176" 0 0.81 19.2639999389648 1 0
"284" 1 1.31 27.0259990692139 1 5
"1235" 1 2.2 35.484001159668 0 0
"1369" 0 1.2 24.1410007476807 1 0
"2782" 1 3.22 41.2999992370605 0 0
"2891" 1 2.81 34.8089981079102 0 5
"2186" 1 0.59 28.4489994049072 0 4
"911" 0 1.47 21.3400001525879 1 0
"2619" 0 1.29 70.5510025024414 0 5
"901" 1 1.5 43.507999420166 1 5
"1845" 0 0.78 11.1429996490479 0 8
"153" 0 1.02 24.5 0 0
"1146" 1 0.71 28.2250003814697 1 10
"1182" 0 1.74 83.9049987792969 0 0
"105" 0 1.18 22.6359996795654 1 12
"1413" 1 1.15 3.61199998855591 0 0
"822" 1 4.74 14.6269998550415 0 5
"106" 0 1.26 10.1230001449585 0 5
"1296" 1 1.1 27.4650001525879 0 10
"2905" 1 1.17 28.8139991760254 0 12
"423" 0 2.26 78.9759979248047 0 7
"3018" 0 0.51 7.70800018310547 0 4
"1903" 1 2.98 17.6100006103516 1 8
"572" 1 0.51 14.1400003433228 1 5
"65" 1 0.89 39.9770011901855 1 5
"636" 0 2.95 126.319000244141 0 0
"1580" 0 2.64 57.6720008850098 0 0
"512" 1 0.61 6.32800006866455 0 12
"2199" 0 2.71 142.522994995117 0 4
"1804" 0 1.72 15.0410003662109 0 10
"1080" 0 1.43 38.1459999084473 1 10
"90" 1 0.77 20.1200008392334 1 0
"1807" 1 1.15 40.8470001220703 1 10
"1513" 1 1.92 16.3530006408691 1 0
"2339" 0 1.45 71.4759979248047 1 0
"1161" 1 1.64 40.2379989624023 0 5
"1762" 1 4.84 14.6440000534058 1 0
"445" 1 1.87 70.1029968261719 0 5
"1826" 1 2.81 14.9569997787476 1 5
"1474" 0 0.6 72.8330001831055 0 0
"1160" 1 0.92 48.0120010375977 0 5
"2288" 0 0.75 54.423999786377 1 6
"2618" 0 1.7 28.6860008239746 0 5
"71" 1 1.99 28.5599994659424 1 5
"1545" 1 3.34 23.8490009307861 0 6
"1232" 1 1.09 54.0169982910156 0 0
"766" 0 1.09 64.9980010986328 0 8
"2977" 1 0.74 15.5120000839233 0 5
"603" 0 0.95 7.69399976730347 0 8
"2953" 0 2.05 18.2229995727539 1 0
"1592" 1 1.7 3.38000011444092 0 8
"1323" 0 1.46 9.29500007629395 0 5
"2195" 0 0.71 10.6669998168945 1 3
"1347" 1 0.67 17.2700004577637 0 0
"296" 1 1.8 16.69700050354 0 0
"2909" 1 1.18 21.1149997711182 0 10
"2774" 0 1.32 18.69700050354 0 4
"1537" 1 1.99 57.2859992980957 0 0
"692" 0 0.92 2.23900008201599 0 10
"2497" 1 1.03 15.7569999694824 1 10
"1125" 0 1.43 8.28699970245361 1 14
"2529" 0 1.02 101.964996337891 1 8
"2321" 0 0.67 35.8079986572266 1 3
"1079" 1 1.42 12.4029998779297 1 0
"2575" 0 NA 72.1370010375977 1 9
"1950" 1 NA 49.681999206543 0 5
"2699" 1 1.06 6.60400009155273 1 5
"1411" 1 2.52 28.1609992980957 0 5
"800" 0 1.06 38.2239990234375 1 5
"2902" 1 7.38 32.7309989929199 1 8
"444" 1 4.35 62.2919998168945 0 0
"2135" 1 0.72 19.5300006866455 0 5
"84" 1 1.4 6.82999992370605 0 5
"1876" 1 1.66 35.8880004882813 0 0
"2396" 0 0.54 9.94999980926514 0 0
"2709" 0 0.73 37.8359985351563 1 7
"2258" 1 5.09 21.6110000610352 1 10
"2971" 0 0.67 14.0349998474121 0 0
"1841" 1 1.27 41.5950012207031 0 5
"1884" 1 2.1 9.07999992370605 1 5
"1722" 0 0.53 15.2889995574951 0 0
"958" 0 1.18 55.5870018005371 1 0
"516" 0 3.68 76.4860000610352 0 5
"1176" 1 1.71 29.2119998931885 0 0
"985" 0 1.54 96.4089965820313 0 5
"2387" 0 1.22 135.910003662109 1 3
"549" 0 0.69 21.2639999389648 0 5
"2667" 1 2.5 36.9150009155273 0 12
"1817" 1 1.17 11.5769996643066 0 6
"1850" 1 2.44 24.5359992980957 1 2
"860" 1 1.44 38.3899993896484 1 0
"271" 0 2.71 197.134994506836 1 5
"2795" 0 0.63 32.6660003662109 0 3
"1018" 0 1.8 16.6860008239746 1 0
"529" 1 0.58 48.234001159668 1 2
"576" 1 3.26 18.4160003662109 0 4
"1700" 1 2.67 40.6360015869141 0 12
"29" 1 0.93 157.628997802734 1 10
"2083" 0 2.79 104.166000366211 1 0
"2459" 1 2.27 69.3099975585938 1 12
"2814" 0 0.76 23.6520004272461 0 9
"2826" 0 1.17 16.0310001373291 1 5
"2970" 0 0.56 23.2310009002686 0 0
"2032" 0 1.31 128.621002197266 0 10
"1074" 1 1.13 30.2099990844727 1 0
"2456" 1 2.51 28.2770004272461 0 10
"327" 1 0.63 49.0340003967285 0 10
"871" 1 1.1 39.5460014343262 1 0
"1005" 0 1.05 42.5169982910156 1 0
"1016" 1 2.11 23.1089992523193 0 7
"2515" 1 1.98 66.338996887207 0 10
"2578" 1 2.81 104.304000854492 0 7
"2237" 1 0.87 27.882999420166 0 4
"1096" 1 0.93 32.9910011291504 1 10
"377" 1 3.44 8.02400016784668 1 10
"201" 0 0.56 83.5719985961914 0 10
"299" 1 0.54 6.93100023269653 1 6
"714" 1 0.68 28.367000579834 0 8
"2332" 0 0.66 13.1459999084473 0 5
"1083" 1 0.72 5.27199983596802 1 0
"1773" 0 6.89 54.3919982910156 1 0
"545" 1 0.64 15.7910003662109 0 0
"169" 0 1.84 39.5960006713867 0 5
"280" 1 2.05 11.8170003890991 0 5
"609" 1 0.67 51.890998840332 0 0
"1820" 1 1.73 28.7520008087158 1 3
"375" 1 3.04 72.5299987792969 1 0
"1013" 1 1.04 39.5410003662109 0 5
"329" 0 NA 37.7779998779297 0 7
"1409" 1 0.61 15.4919996261597 0 5
"681" 0 1.7 144.634994506836 1 5
"2711" 0 0.59 5.64300012588501 0 12
"2017" 1 0.96 17.3899993896484 0 12
"2697" 1 0.98 58.4630012512207 1 7
"1930" 1 5.28 52.3009986877441 0 4
"2843" 1 2.07 48.9440002441406 0 4
"789" 0 2.53 49.6209983825684 0 5
"2568" 1 1.05 40.9529991149902 1 6
"2647" 1 1.01 33.9169998168945 1 7
"726" 0 0.52 48.390998840332 0 5
"2435" 0 0.58 47.6759986877441 0 11
"2932" 1 1.23 58.4930000305176 0 9
"2240" 1 0.55 60.431999206543 0 9
"243" 1 0.77 40.1310005187988 0 10
"52" 0 0.51 99.0130004882813 0 0
"1285" 1 1.23 75.4710006713867 0 9
"126" 1 1.47 18.5319995880127 1 9
"2056" 1 1.43 36.2039985656738 1 0
"2093" 0 3.19 93.8040008544922 0 0
"2098" 0 0.79 95.333999633789 0 3
"847" 1 2.61 84.7040023803711 0 5
"2235" 1 1.38 23.1480007171631 0 4
"670" 1 2.12 35.8899993896484 0 14
"2244" 1 0.87 8.8120002746582 0 6
"2781" 1 2.61 60.5750007629395 0 0
"436" 1 2.6 63.9090003967285 0 9
"793" 1 3.27 134.875 1 0
"1004" 0 0.75 17.5900001525879 0 0
"701" 1 1.31 35.8919982910156 1 6
"1437" 0 3.74 2.4539999961853 1 0
"1355" 1 3.78 42.9000015258789 0 0
"1294" 1 2.63 71.7490005493164 0 0
"1257" 1 2.04 39.4220008850098 0 0
"2379" 0 0.76 77.8850021362305 1 2
"476" 0 0.9 27.2450008392334 1 5
"1263" 0 2.21 80.8440017700195 0 0
"2780" 1 3.93 63.5950012207031 0 0
"393" 1 5.25 80.6800003051758 0 0
"1736" 0 0.69 56.5579986572266 1 5
"273" 0 1.43 339.531005859375 0 4
"1765" 0 2.33 42.9720001220703 1 0
"1851" 1 2.1 5.95100021362305 1 2
"2865" 0 2.28 83.4130020141602 0 12
"1892" 1 3.87 18.7730007171631 0 10
"2335" 0 1.14 83.2470016479492 1 4
"697" 1 0.73 18.0149993896484 1 10
"1391" 1 0.81 29.8229999542236 0 0
"9" 1 3.28 52.6469993591309 1 0
"424" 1 1.65 52.9300003051758 1 7
"2397" 1 1.01 6.64599990844727 1 0
"972" 0 0.51 33.7449989318848 0 0
"767" 0 2.89 43.5979995727539 1 5
"852" 1 4.05 96.4820022583008 0 10
"1583" 0 3.62 113.283996582031 1 8
"1479" 0 1.02 26.7950000762939 0 5
"1298" 1 4.27 76.916000366211 0 0
"1396" 0 1.26 7.48099994659424 1 10
"19" 1 2.33 50.5340003967285 1 0
"1114" 0 0.68 11.0609998703003 0 0
"2964" 1 2.5 8.33699989318848 0 0
"2882" 0 0.78 52.5120010375977 1 5
"2334" 0 1.63 65.8150024414063 1 5
"1445" 1 1.44 12.3929996490479 1 0
"49" 1 4.47 72.3460006713867 0 8
"248" 0 0.52 74.1169967651367 0 8
"2414" 1 NA 35.0579986572266 1 5
"2629" 1 0.73 26.7150001525879 1 4
"418" 1 1.16 60.3619995117188 1 0
"1814" 1 3.96 12.3529996871948 1 0
"770" 0 1.71 22.6200008392334 1 5
"2651" 0 0.6 30.9570007324219 0 6
"944" 1 0.97 12.0059995651245 1 7
"2047" 0 2.28 79.7210006713867 0 4
"2776" 0 0.79 32.1510009765625 0 3
"809" 0 2.7 16.7810001373291 0 5
"1508" 1 2.37 32.4620018005371 0 5
"1587" 0 2.79 60.2799987792969 1 5
"1124" 1 1.05 11.5069999694824 0 10
"1370" 0 0.75 53.306999206543 1 5
"577" 1 1.17 16.636999130249 1 4
"186" 0 2.95 96.4359970092773 0 0
"2302" 0 0.59 23.3549995422363 1 0
"2777" 1 1.26 44.4720001220703 0 5
"1732" 0 1.64 20.5440006256104 1 0
"939" 0 0.93 57.2879981994629 1 5
"51" 1 1.8 67.2190017700195 0 0
"116" 0 0.65 82.1060028076172 1 9
"1991" 1 2.35 31.951000213623 0 8
"769" 0 1.08 20.0090007781982 1 0
"1158" 1 1.04 51.7389984130859 0 0
"2484" 1 1.25 26.5610008239746 0 8
"168" 0 2.64 57.632999420166 1 2
"171" 0 1.27 21.5550003051758 0 10
"2298" 0 0.85 15.4849996566772 0 0
"1846" 1 0.64 17.0100002288818 1 8
"813" 0 4.46 38.9539985656738 1 5
"1443" 0 0.73 7.50299978256226 0 0
"1994" 0 1.01 89.890998840332 0 10
"2211" 1 0.9 19.173999786377 0 5
"2130" 0 0.83 37.2789993286133 1 5
"4" 1 1.15 21.4860000610352 0 12
"1812" 1 0.55 21.4160003662109 1 0
"2828" 1 0.86 177.272003173828 0 10
"1514" 1 2.61 22.6860008239746 0 0
"2039" 0 1.08 93.2160034179688 0 4
"238" 0 0.67 71.6370010375977 1 0
"2513" 1 1.68 88.7809982299805 0 8
"1835" 1 0.98 42.3250007629395 1 0
"2049" 0 0.87 134.315994262695 1 4
"1068" 0 1.24 39.0690002441406 1 0
"2127" 1 1.21 21.4820003509521 1 12
"2315" 0 0.77 28.2549991607666 1 0
"924" 1 3.19 67.4960021972656 1 10
"724" 1 3.04 18.2169990539551 0 5
"128" 1 2.38 40.4980010986328 0 12
"2323" 1 2.31 18.4379997253418 0 2
"415" 1 1.02 71.7730026245117 0 0
"1346" 0 0.94 62.9259986877441 0 0
"1695" 1 1.19 79.9440002441406 0 4
"2260" 0 2.04 138.309997558594 1 8
"177" 0 1.81 53.3629989624023 1 9
"1524" 1 5.41 11.6929998397827 0 6
"1633" 1 0.95 23.9869995117188 1 0
"2827" 0 2.11 143.242004394531 0 7
"1180" 1 1.74 40.7849998474121 0 0
"2346" 0 1.29 128.246002197266 1 2
"2733" 1 1.87 40.8339996337891 0 10
"744" 1 3.34 113.726997375488 0 16
"2314" 1 0.7 16.6049995422363 1 5
"2746" 1 NA 12.7480001449585 0 12
"2818" 1 NA 64.906997680664 1 5
"2634" 1 0.51 8.19799995422363 1 3
"2708" 1 0.57 40.3419990539551 1 5
"396" 1 2.42 108.546997070313 0 3
"1673" 0 1.06 19.9869995117188 1 10
"2768" 1 0.79 23.3589992523193 1 0
"358" 1 3.89 72.1019973754883 0 5
"117" 1 2.29 46.9560012817383 1 3
"534" 1 2.72 3.25200009346008 1 8
"639" 0 2.86 178.755996704102 1 5
"2228" 1 0.85 28.6459999084473 0 5
"2556" 1 0.75 34.1669998168945 1 8
"2642" 1 2.78 25.8959999084473 1 7
"2106" 1 2.59 199.309005737305 0 10
"1097" 0 1.23 17.2590007781982 0 0
"2649" 1 1.33 9.871000289917 1 6
"215" 1 2.77 70.7740020751953 0 7
"796" 0 2.22 119.65299987793 1 5
"1710" 0 2 130.873992919922 1 0
"2765" 0 0.82 27.1550006866455 0 0
"2632" 0 0.74 14.4890003204346 1 8
"630" 1 2.34 83.4349975585938 0 8
"2706" 0 0.63 61.9199981689453 0 0
"1681" 1 1.27 64.0210037231445 1 5
"2999" 0 0.55 32.1609992980957 0 10
"2006" 0 1.4 55.7760009765625 1 0
"2457" 1 1.68 29.7789993286133 1 6
"2068" 0 2.33 62.9650001525879 0 4
"459" 1 2.86 47.3390007019043 1 5
"2071" 0 2.58 133.873001098633 1 5
"1290" 1 2.92 12.9670000076294 0 0
"1292" 1 2.86 39.7529983520508 0 0
"1635" 1 1.32 25.4200000762939 1 5
"1562" 0 2.72 48.076000213623 0 5
"2229" 1 0.89 25.9309997558594 1 0
"294" 1 1.26 27.1410007476807 1 6
"3004" 1 1.13 77.734001159668 0 5
"2090" 1 3.35 30.621000289917 1 5
"1341" 0 NA 12.125 0 12
"2440" 0 0.81 31.0690002441406 1 6
"100" 1 NA 20.2299995422363 0 0
"2997" 0 2.8 79.5849990844727 0 6
"705" 1 1.21 45.5139999389648 1 10
"867" 0 1.32 74.6600036621094 1 5
"1604" 1 1.95 165.416000366211 0 0
"2802" 0 0.66 29.0869998931885 0 0
"506" 0 1.63 12.5640001296997 1 5
"1053" 1 2.41 43.5589981079102 0 5
"129" 0 3.97 90.5709991455078 0 0
"969" 0 0.61 59.9259986877441 1 0
"624" 0 0.9 65.9599990844727 0 8
"1078" 1 1.35 17.1539993286133 1 0
"140" 1 4.04 78.4150009155273 1 0
"2574" 0 1.05 69.5329971313477 1 7
"408" 1 2.71 68.3140029907227 1 7
"773" 1 2.2 155.507995605469 0 12
"2316" 0 0.53 17.3759994506836 1 3
"1058" 0 1.46 150.210998535156 0 5
"1536" 1 0.61 63.6549987792969 1 0
"1371" 0 0.88 64.1259994506836 1 5
"902" 1 1.19 78.7210006713867 1 5
"2808" 1 4.67 55.6940002441406 0 8
"1645" 0 1.05 106.016998291016 0 6
"1123" 1 1.18 36.0530014038086 0 5
"2481" 1 1.07 83.4899978637695 0 14
"865" 1 1.62 63.0060005187988 1 5
"546" 0 0.56 16.1350002288818 1 0
"1082" 0 0.98 10.3970003128052 0 8
"970" 1 0.65 162.921005249023 0 5
"2188" 0 0.6 5.38500022888184 0 4
"57" 1 2.69 65.931999206543 0 0
"967" 1 1.6 50.7169990539551 1 10
"1607" 1 2.18 33.2999992370605 0 6
"2004" 0 0.88 81.9599990844727 1 5
"2745" 1 1.39 18.2880001068115 0 12
"2009" 0 1.15 94.7850036621094 0 0
"1852" 1 1.9 7.1579999923706 1 0
"1027" 0 0.95 55.1100006103516 0 7
"2517" 0 1.86 74.572998046875 1 5
"1383" 1 0.56 20.9260005950928 0 0
"112" 0 0.62 23.5590000152588 0 0
"1017" 0 1.5 7.36999988555908 0 11
"277" 0 0.7 50.8289985656738 1 0
"1797" 1 1.1 24.0419998168945 1 7
"522" 0 NA 16.3579998016357 0 0
"2014" 1 0.83 104.314002990723 0 0
"282" 1 1.2 17.5750007629395 0 5
